ems_no,county,company_name,address,process_id,process_name,category,expiry_date
F0701702,新北市,南亞塑膠工業股份有限公司樹林廠,新北市樹林區東山里味王街五五號,M31,印刷油墨化學原料製造程序,操作,116/12/12
F0701846,新北市,輝泰工業股份有限公司,新北市樹林區三多里三俊街七四巷三五號,M01,金屬電鍍處理程序,操作,117/05/14
F0701926,新北市,優技電子股份有限公司,新北市樹林區東順街七一號,M01,印刷電路板製造程序,操作,115/08/15
F0701935,新北市,永晉電瓷股份有限公司,新北市樹林區潭底里豐林街四○號,M01,陶瓷製品濕式成型製造程序,操作,118/12/25
F0701962,新北市,旭智股份有限公司,新北市樹林區山佳里八德街四九二巷七號,M01,印刷電路板製造程序,操作,115/08/08
F0702165,新北市,建鴻工業有限公司樹林廠,新北市樹林區武林街五之二號,M01,金屬表面清洗程序,操作,116/02/27
F0702370,新北市,群益鋁業股份有限公司,新北市樹林區三興里工興街二八號,M01,其他金屬品處理加工程序,操作,119/08/08
F0702414,新北市,晃成企業股份有限公司,新北市樹林區三龍里三龍街四五巷八號,M01,金屬電鍍處理程序,操作,119/11/01
F0702478,新北市,君昇實業股份有限公司,新北市樹林區俊興街二一○巷六、一二號,M01,印刷電路板製造程序,操作,118/04/08
F0702549,新北市,國力混凝土工業股份有限公司,新北市樹林區北園里西圳街一段一一六巷一四號,M01,水泥製品製造程序,操作,116/12/18
F0702567,新北市,新北市肉品市場,新北市樹林區俊安街四三號,M01,屠宰作業程序,操作,119/03/28
F0702870,新北市,祐鋅實業有限公司,新北市樹林區俊英街一一六巷二九弄四、六、八號,M01,其他金屬品處理加工程序,操作,119/08/30
F0702969,新北市,崇友企業有限公司,新北市樹林區三龍里三俊街六五巷一八弄三號,M01,金屬電鍍處理程序,操作,115/08/07
F0703251,新北市,先進工業股份有限公司,新北市樹林區圳生里三俊街二五二巷一三號,M02,印刷電路板製造程序,操作,118/04/15
F0703859,新北市,尚德有限公司,新北市樹林區金寮里光武街三○巷一一號,M01,金屬電鍍處理程序,操作,119/03/25
F0703948,新北市,樹林垃圾焚化廠,新北市樹林區樂山里中山路三段二一二號,M01,廢棄物焚化處理程序,操作,116/07/12
F0704025,新北市,維毅實業有限公司,新北市樹林區圳生里俊興街二二四巷一四號,M01,金屬電鍍處理程序,操作,117/12/17
F0704052,新北市,鉅翔金屬科技工業股份有限公司,新北市樹林區圳安里俊英街二五四號,M01,其他金屬熱處理程序,操作,118/01/01
F0704212,新北市,成功瀝青工業股份有限公司第二廠,新北市樹林區北園里西圳街二段六○號,M01,瀝青混凝土製造程序,操作,119/09/21
