ems_no,county,company_name,address,process_id,process_name,category,permit_no,effective_date,expiry_date
F0720609,新北市,呈錩工業有限公司樹林廠,新北市樹林區金寮里武林街一六之三號一樓、二樓,M01,M01 - 金屬電鍍處理程序,操作,新北市環操證字第F1947-03號,,115/07/27
F0720805,新北市,北旭百企業有限公司三俊廠,新北市樹林區圳生里三俊街一九九巷二○弄一七號(一、二、三樓及夾層)及一七之一號(一、二、三樓),M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F1845-04號,,119/09/27
F0721366,新北市,新日興股份有限公司樹林廠,新北市樹林區圳安里俊英街一九四號一至四樓,M01,M01 - 其他金屬熱處理程序,操作,新北市環操證字第F1853-07號,,116/03/21
F0721482,新北市,笙富科技有限公司,新北市樹林區三多里俊興街二一一巷七弄四二號一樓,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F2056-01號,,119/07/01
F0721651,新北市,立行環保有限公司樹林廠,新北市樹林區圳安里俊英街一○四號,M01,M01 - 事業廢棄物再利用或處理程序,操作,新北市環操證字第F1827-02號,,115/12/25
F0721660,新北市,嘉聯益科技股份有限公司樹林廠,新北市樹林區樹東里博愛街二四八號、二四八號四樓、二四八號六樓、二四八號八樓,M01,M01 - 印刷電路板製造程序,操作,新北市環操證字第F1682-10號,,118/01/07
F0724223,新北市,長聯富企業有限公司樹林廠,新北市樹林區東豐段四七七、四七七之一、四七九及四八六地號等四筆土地,M01,M01 - 堆置場作業程序,操作,新北市環操證字第F1711-07號,,116/04/30
F0724269,新北市,日益茂工業股份有限公司,新北市樹林區金寮里樹潭街一之二、一之三號,M01,M01 - 金屬電鍍處理程序,操作,新北市環操證字第F2200-01號,,118/01/01
F0725257,新北市,遠嘉土石方資源堆置處理場,新北市樹林區中華段四五八地號、四六○之一地號、東山段六九一地號,M01,M01 - 堆置場作業程序,操作,新北市環操證字第F1514-06號,,117/06/14
F0725444,新北市,新北市政府環境保護局樹林飛灰固化廠,新北市樹林區中山路三段二一四號,M01,M01 - 廢棄物固化處理程序,操作,新北市環操證字第F1856-03號,,116/10/15
